Title	Rwp(%)	Phase_Name	Vol.(%)	error(%)	Wt.(%)	error(%)	Cell_Par(Angstrom)	Cell_Par(Angstrom)	Size(Angstrom)	Microstrain	Phase_Name	Vol.(%)	error(%)	Wt.(%)	error(%)	Cell_Par(Angstrom)	Size(Angstrom)	Microstrain	
MAUD_065_00000.esg(0)	27.723455	alpha	96.752815	0.0	96.56902	0.0	2.9201105	4.665886	1001.58606	9.519005E-6	beta	3.247185	0.07836706	3.4309752	0.08280262	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00001.esg(0)	27.324001	alpha	96.83109	0.0	96.65151	0.0	2.9201574	4.665825	1002.5341	1.3743634E-6	beta	3.1689134	0.07538182	3.348488	0.07965353	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00002.esg(0)	27.564604	alpha	96.80022	0.0	96.618965	0.0	2.920159	4.6657963	1001.9919	2.0562757E-6	beta	3.1997879	0.07689757	3.3810346	0.08125331	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00003.esg(0)	27.570559	alpha	96.82233	0.0	96.64228	0.0	2.92015	4.665836	1001.93286	9.777978E-6	beta	3.177675	0.07767306	3.3577204	0.08207397	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00004.esg(0)	27.962328	alpha	96.75925	0.0	96.57577	0.0	2.920108	4.665953	1001.25934	5.633276E-7	beta	3.24075	0.078990355	3.4242306	0.08346254	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00005.esg(0)	27.305801	alpha	96.86156	0.0	96.68366	0.0	2.9201581	4.665805	1002.48895	1.1034367E-5	beta	3.1384428	0.0748572	3.3163378	0.079100296	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00006.esg(0)	27.819786	alpha	96.77158	0.0	96.5888	0.0	2.9201157	4.665886	1013.31323	1.40052325E-5	beta	3.2284224	0.07811666	3.4111996	0.08253924	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00007.esg(0)	27.739132	alpha	96.79455	0.0	96.61301	0.0	2.9201262	4.665876	1001.73303	4.356089E-5	beta	3.2054546	0.07842118	3.386994	0.08286252	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00008.esg(0)	27.94641	alpha	96.7469	0.0	96.56276	0.0	2.920105	4.6659336	1001.30194	2.5098396E-5	beta	3.2531037	0.0798476	3.4372382	0.08436719	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00009.esg(0)	27.789083	alpha	96.77073	0.0	96.58789	0.0	2.920116	4.6659064	1001.60925	2.8102504E-5	beta	3.229274	0.07822996	3.412113	0.082659274	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00010.esg(0)	28.263248	alpha	96.73134	0.0	96.54631	0.0	2.9201105	4.6659746	1001.00507	8.771897E-6	beta	3.268664	0.080804616	3.4536898	0.08537864	3.1928291	1000.00446	6.748858E-4	
Put a title here	27.743958	alpha	96.72899	0.0	96.54389	0.0	2.920103	4.665911	1001.3615	3.9125753E-5	beta	3.2710154	0.0773733	3.456107	0.081751496	3.1928291	1000.00446	6.748858E-4	
Put a title here	27.743958	alpha	96.72899	0.0	96.54389	0.0	2.920103	4.665911	1001.3615	3.9125753E-5	beta	3.2710154	0.0773733	3.456107	0.081751496	3.1928291	1000.00446	6.748858E-4	
Put a title here	27.743958	alpha	96.72899	0.0	96.54389	0.0	2.920103	4.665911	1001.3615	3.9125753E-5	beta	3.2710154	0.0773733	3.456107	0.081751496	3.1928291	1000.00446	6.748858E-4	
Put a title here	27.743958	alpha	96.72899	0.0	96.54389	0.0	2.920103	4.665911	1001.3615	3.9125753E-5	beta	3.2710154	0.0773733	3.456107	0.081751496	3.1928291	1000.00446	6.748858E-4	
Put a title here	27.743958	alpha	96.72899	0.0	96.54389	0.0	2.920103	4.665911	1001.3615	3.9125753E-5	beta	3.2710154	0.0773733	3.456107	0.081751496	3.1928291	1000.00446	6.748858E-4	
