Title	Rwp(%)	Phase_Name	Vol.(%)	error(%)	Wt.(%)	error(%)	Cell_Par(Angstrom)	Cell_Par(Angstrom)	Size(Angstrom)	Microstrain	Phase_Name	Vol.(%)	error(%)	Wt.(%)	error(%)	Cell_Par(Angstrom)	Size(Angstrom)	Microstrain	
MAUD_065_00000.esg(0)	26.47146	alpha	97.17375	0.0	97.01292	0.0	2.9203858	4.665225	1001.59894	2.8976488E-6	beta	2.8262465	0.07195508	2.9870832	0.07604992	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00001.esg(0)	26.44872	alpha	97.14959	0.0	96.9873	0.0	2.9204102	4.6653557	1002.54443	1.4686962E-6	beta	2.8504052	0.071377955	3.0127046	0.07544215	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00002.esg(0)	26.478771	alpha	97.17284	0.0	97.011894	0.0	2.9204087	4.665245	1002.00323	2.2120819E-6	beta	2.827162	0.070906825	2.9881067	0.074943416	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00003.esg(0)	26.453968	alpha	97.20518	0.0	97.046	0.0	2.9204035	4.665297	1001.94385	1.876604E-6	beta	2.7948227	0.071500905	2.9540043	0.075573295	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00004.esg(0)	26.55696	alpha	97.20598	0.0	97.046814	0.0	2.9203906	4.665379	1001.2743	1.2227606E-6	beta	2.7940226	0.071706146	2.9531848	0.07579091	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00005.esg(0)	26.423944	alpha	97.18439	0.0	97.02399	0.0	2.9204736	4.6651845	1002.4986	1.82292E-6	beta	2.8156111	0.07122081	2.9760094	0.07527808	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00006.esg(0)	26.538494	alpha	97.18619	0.0	97.02596	0.0	2.9203868	4.665341	1013.3252	2.985903E-7	beta	2.813813	0.069995694	2.9740372	0.07398139	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00007.esg(0)	22.125862	alpha	95.957504	0.0	95.73083	0.0	2.9202697	4.665211	1583.2551	7.485444E-7	beta	4.0424967	0.060566247	4.2691693	0.06396234	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00008.esg(0)	26.541664	alpha	97.19376	0.0	97.03396	0.0	2.920356	4.6654425	1001.32697	2.5188506E-6	beta	2.8062327	0.07076594	2.9660404	0.07479588	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00009.esg(0)	26.559467	alpha	97.187126	0.0	97.02693	0.0	2.9203854	4.6653805	1001.6232	1.7811531E-7	beta	2.812872	0.07118149	2.9730659	0.0752353	3.1928291	1000.00446	6.748858E-4	
MAUD_065_00010.esg(0)	26.680914	alpha	97.2205	0.0	97.06214	0.0	2.920427	4.6652656	1001.021	2.178245E-6	beta	2.7794995	0.07189037	2.9378614	0.07598632	3.1928291	1000.00446	6.748858E-4	
