Filename	Texture Index Triclinic	Texture Index Orthorhombic
065_00000_alpha_20iter	2.098474	2.098474
065_00001_alpha_20iter	2.107265	2.107265
065_00002_alpha_20iter	2.084805	2.084805
065_00003_alpha_20iter	2.112042	2.112042
065_00004_alpha_20iter	2.105809	2.105809
065_00005_alpha_20iter	2.094318	2.094318
065_00006_alpha_20iter	2.114037	2.114037
065_00007_alpha_20iter	2.107980	2.107980
065_00008_alpha_20iter	2.101064	2.101064
065_00009_alpha_20iter	2.105598	2.105598
065_00010_alpha_20iter	2.093472	2.093472
