Filename	Texture Index Triclinic	Texture Index Orthorhombic
065_00000_beta_20iter	1.438618	1.438618
065_00001_beta_20iter	1.445002	1.445002
065_00002_beta_20iter	1.494802	1.494802
065_00003_beta_20iter	1.406131	1.406131
065_00004_beta_20iter	1.416294	1.416294
065_00005_beta_20iter	1.388311	1.388311
065_00006_beta_20iter	1.397546	1.397546
065_00007_beta_20iter	1.511935	1.511935
065_00008_beta_20iter	1.422408	1.422408
065_00009_beta_20iter	1.394877	1.394877
065_00010_beta_20iter	1.392338	1.392338
